,Wahlberechtigte,Wahlbeteiligung,SPD,CDU,GRÜNE,BIBS,DIE LINKE.,FDP,Sonstige,Stimmenmehrheiten
11101 Hondelage-Ost,1124,56.22775800711744,35.5119825708061,25.49019607843137,15.413943355119825,0,4.302832244008715,5.446623093681917,13.83442265795207,SPD-GRÜNE
11102 Hondelage-Mitte/Gewerbegebiet,1008,49.60317460317461,39.2226148409894,32.791519434628974,12.932862190812722,0,4.31095406360424,5.371024734982332,5.371024734982332,SPD-GRÜNE
11103 Hondelage-West,1019,53.189401373895976,39.25974884335757,27.62723066754792,15.53205551883675,0,4.163912756113682,5.353602115003304,8.06345009914078,SPD-GRÜNE
11111 Dibbesdorf,1245,53.493975903614455,35.456919060052215,36.4490861618799,10.443864229765012,5.900783289817232,4.543080939947781,7.206266318537859,0,SPD-GRÜNE
11121 Volkmarode-Ost,1525,50.62295081967213,37.11670480549199,31.441647597254,12.036613272311213,9.839816933638444,3.6155606407322654,5.949656750572083,0,SPD-GRÜNE
11122 Volkmarode-West,1669,45.775913720790896,36.55172413793103,32,12.919540229885056,5.839080459770115,3.4482758620689653,9.241379310344827,0,SPD-GRÜNE
11131 Schapen,1376,54.14244186046512,42.87037037037037,34.76851851851852,11.018518518518519,3.564814814814815,2.037037037037037,5.7407407407407405,0,SPD-GRÜNE
11201 Bevenrode,1259,54.964257347100876,21.00547536087606,34.74365355898457,6.570433051269288,28.670980587356894,1.991040318566451,3.9323046291687405,3.086112493777999,CDU-FDP
11211 Waggum-Ost,1354,51.8463810930576,27.830423940149622,24.189526184538654,6.982543640897755,30.972568578553616,3.690773067331671,3.541147132169576,2.7930174563591024,SPD-GRÜNE
11212 Waggum-West,1196,50.16722408026756,37.42757821552723,22.247972190034762,6.836616454229433,24.04403244495944,2.6651216685979144,5.504055619930475,1.2746234067207416,SPD-GRÜNE
11221 Bienrode,1432,45.87988826815643,30.839123463388564,36.4510956707643,7.055050774986638,11.17049706039551,4.061998931052912,6.680919294494922,3.741314804917156,CDU-FDP
11231 Querum-Nord,897,44.03567447045708,27.933450087565674,40.10507880910683,13.922942206654993,6.567425569176883,5.691768826619965,4.99124343257443,0.7880910683012259,CDU-FDP
11232 Querum-Nordost,922,42.84164859002169,26.46288209606987,35.72052401746725,14.585152838427948,8.384279475982533,3.2314410480349345,9.257641921397381,2.3580786026200875,CDU-FDP
11241 Querum-Ost,944,46.29237288135593,33.088834555827226,32.92583537082315,10.920945395273025,9.209453952730236,5.623471882640587,6.438467807660962,1.7929910350448246,SPD-GRÜNE
11242 Querum-Mitte,1343,45.867460908413996,29.43201376936317,31.440045897877223,14.285714285714285,9.179575444635686,8.032128514056225,4.130808950086059,3.499713138267355,SPD-GRÜNE
11243 Querum-West,1248,41.82692307692308,37.30053191489361,24.13563829787234,13.164893617021276,11.63563829787234,4.521276595744681,5.252659574468085,3.9893617021276597,SPD-GRÜNE
11251 Pappelberg,1423,45.25650035137034,38.53311439518336,31.308155446086484,10.29009304871374,7.8817733990147785,4.488232074438971,3.7219485495347566,3.776683087027915,SPD-GRÜNE
