,Wahlberechtigte,Wahlbeteiligung,SPD,CDU,GRÜNE,AfD,BIBS,DIE LINKE.,FDP,Sonstige,Stimmenmehrheiten,Stärkste Partei
11101 Hondelage-Ost,1158,41.8825561312608,34.14809489575845,31.344356578001438,13.371675053918045,0,3.5226455787203452,2.4442846872753416,12.868439971243708,2.3005032350826746,SPD-GRÜNE,SPD
11102 Hondelage-Mitte/Gewerbegebiet,1007,41.012909632572,34.658599827139156,33.36214347450303,15.384615384615385,0,2.16076058772688,1.1235955056179776,7.778738115816767,5.531547104580812,SPD-GRÜNE,SPD
11103 Hondelage-West,956,40.89958158995816,38.927943760984185,30.579964850615116,14.850615114235502,0,2.460456942003515,2.724077328646749,7.205623901581721,3.2513181019332165,SPD-GRÜNE,SPD
11111 Dibbesdorf,1174,43.52640545144804,38.78378378378378,26.756756756756754,20.54054054054054,0,2.22972972972973,1.418918918918919,6.959459459459459,3.310810810810811,SPD-GRÜNE,SPD
11121 Volkmarode-Ost,1494,40.42838018741633,37.385844748858446,26.82648401826484,18.550228310502284,0,3.595890410958904,2.5684931506849313,7.705479452054795,3.3675799086757987,SPD-GRÜNE,SPD
11122 Volkmarode-West,1686,34.75682087781732,36.94895591647332,26.50812064965197,20.243619489559165,0,2.494199535962877,2.3781902552204177,8.758700696055685,2.668213457076566,SPD-GRÜNE,SPD
11131 Schapen,1334,40.779610194902546,39.18238993710692,32.45283018867924,17.232704402515722,0,3.207547169811321,1.069182389937107,4.0251572327044025,2.8301886792452833,SPD-GRÜNE,SPD
11201 Bevenrode,1287,40.71484071484072,23.71879106438896,21.944809461235216,12.746386333771353,5.059132720105125,26.47831800262812,2.036793692509855,4.993429697766097,3.0223390275952693,SPD-GRÜNE,BIBS
11211 Waggum-Ost,1357,37.214443625644805,28.60125260960334,17.606123869171885,10.995128740431454,5.010438413361169,27.20946416144746,1.8789144050104383,5.775922059846903,2.9227557411273484,SPD-GRÜNE,SPD
11212 Waggum-West,1317,34.47228549734245,25.271317829457363,24.728682170542633,12.4031007751938,3.0232558139534884,24.26356589147287,1.1627906976744187,7.441860465116279,1.7054263565891472,SPD-GRÜNE,SPD
11221 Bienrode,1391,35.15456506110712,30.385164051355208,31.669044222539227,10.627674750356633,6.562054208273895,10.199714693295292,2.0684736091298146,6.633380884450784,1.8544935805991443,SPD-GRÜNE,CDU
11231 Querum-Nord,880,35.90909090909091,19.230769230769234,42.417582417582416,21.53846153846154,2.0879120879120876,3.296703296703297,3.1868131868131866,5.054945054945055,3.1868131868131866,CDU-FDP,CDU
11232 Querum-Nordost,946,34.46088794926004,21.630094043887148,33.75130616509927,19.435736677115987,4.075235109717868,6.896551724137931,1.5673981191222568,7.41901776384535,5.22466039707419,CDU-FDP,CDU
11241 Querum-Ost,929,31.001076426264802,25.149700598802394,33.89221556886228,17.724550898203592,4.910179640718563,5.748502994011976,4.191616766467066,5.029940119760479,3.3532934131736525,SPD-GRÜNE,CDU
11242 Querum-Mitte,1314,33.86605783866058,31.259842519685037,25.669291338582678,17.637795275590552,5.039370078740157,4.566929133858268,4.409448818897638,7.322834645669292,4.094488188976378,SPD-GRÜNE,SPD
11243 Querum-West,1168,32.02054794520548,30.274361400189214,23.651844843897823,22.327341532639547,5.014191106906338,6.5279091769157995,3.7842951750236518,1.7029328287606436,6.717123935666983,SPD-GRÜNE,SPD
11251 Pappelberg,1360,32.57352941176471,38.07599029911075,20.85691188358933,18.108326596604687,4.042037186742118,7.275666936135812,2.8294260307194827,4.12287793047696,4.688763136620857,SPD-GRÜNE,SPD
11252 Gliesmarode-Südost,1299,32.024634334103155,25.766362883181444,22.949461474730736,23.612261806130903,4.888152444076222,10.273405136702568,1.8227009113504555,6.296603148301575,4.391052195526098,SPD-GRÜNE,SPD
11253 Gliesmarode-Mitte,1143,34.29571303587052,25.30647985989492,23.73029772329247,26.882661996497376,3.1523642732049035,4.903677758318739,3.502626970227671,4.028021015761821,8.493870402802102,SPD-GRÜNE,GRÜNE
11254 Gliesmarode-Nord,1551,33.39780786589297,24.9500998003992,24.151696606786427,25.948103792415168,2.7278775781769795,7.385229540918163,3.9254823685961413,5.655355954757153,5.2561543579507655,SPD-GRÜNE,GRÜNE
11261 Riddagshausen,436,42.88990825688073,25.74074074074074,22.77777777777778,29.444444444444446,3.5185185185185186,5.7407407407407405,5,6.481481481481481,1.2962962962962963,SPD-GRÜNE,GRÜNE
12001 Gliesmaroder Straße-Nordost,1460,31.575342465753426,24.354243542435423,15.867158671586715,29.96309963099631,3.837638376383764,6.051660516605166,7.011070110701106,6.125461254612547,6.789667896678966,SPD-GRÜNE,GRÜNE
12002 Karlstraße-Mitte,1099,37.21565059144677,29.125412541254125,10.396039603960396,34.15841584158416,2.4752475247524752,5.9405940594059405,4.867986798679868,5.2805280528052805,7.755775577557755,SPD-GRÜNE,GRÜNE
12003 Gliesmaroder Straße-Ost,1209,33.085194375516956,24.2320819112628,10.409556313993173,37.883959044368595,1.877133105802048,6.655290102389079,8.19112627986348,4.607508532423208,6.143344709897611,SPD-GRÜNE,GRÜNE
12004 Malerviertel,1325,38.49056603773585,30.373831775700932,13.618157543391188,35.91455273698264,1.0680907877169559,5.14018691588785,4.539385847797063,4.472630173564753,4.873164218958611,SPD-GRÜNE,GRÜNE
12005 An der Paulikirche,1253,40.702314445331204,22.361477572559366,15.237467018469658,41.952506596306065,1.517150395778364,6.728232189973616,3.825857519788918,3.16622691292876,5.211081794195251,SPD-GRÜNE,GRÜNE
12006 Hagenring,1278,37.40219092331768,25.107604017216644,12.769010043041607,40.6025824964132,1.5064562410329985,4.878048780487805,3.2998565279770444,5.738880918220947,6.097560975609756,SPD-GRÜNE,GRÜNE
12011 Humboldtstraße,1247,29.991980753809145,21.743119266055047,8.1651376146789,44.22018348623853,3.1192660550458715,6.7889908256880735,7.064220183486239,3.9449541284403673,4.954128440366973,SPD-GRÜNE,GRÜNE
12012 Kasernenstraße,1321,31.642694928084786,22.969647251845775,13.2895816242822,39.29450369155045,2.1328958162428218,4.1837571780147655,5.660377358490567,5.988515176374077,6.480721903199344,SPD-GRÜNE,GRÜNE
12021 Am Theater,1441,32.61623872310896,24.76601871850252,10.439164866810655,39.740820734341256,1.9438444924406046,6.551475881929446,4.391648668106551,7.415406767458603,4.751619870410368,SPD-GRÜNE,GRÜNE
12022 Giersberg,1545,34.1747572815534,25.485122897800778,14.683053040103495,33.95860284605433,3.4928848641655885,4.527813712807244,4.915912031047866,6.468305304010349,6.468305304010349,SPD-GRÜNE,GRÜNE
12031 Stadtpark,1347,39.42093541202672,29.320388349514566,11.779935275080906,38.83495145631068,1.1650485436893203,4.3365695792880254,4.854368932038835,4.983818770226537,4.724919093851133,SPD-GRÜNE,GRÜNE
12032 Prinzenpark-Nord,1172,39.419795221843,24.302496328928047,10.572687224669604,39.20704845814978,0.881057268722467,7.195301027900147,7.63582966226138,4.405286343612335,5.800293685756241,SPD-GRÜNE,GRÜNE
12033 Kastanienallee,1129,39.41541186891054,28.888888888888886,12.490421455938696,34.94252873563218,3.065134099616858,5.287356321839081,4.061302681992337,4.674329501915709,6.590038314176246,SPD-GRÜNE,GRÜNE
12034 Prinzenpark-Mitte,1002,35.92814371257485,29.914529914529915,12.250712250712251,29.534662867996204,4.083570750237417,8.547008547008547,6.267806267806268,3.513770180436847,5.887939221272555,SPD-GRÜNE,SPD
12035 Prinzenpark-Süd,1065,37.652582159624416,30.795551753635586,10.436270316509837,34.388366124893075,2.6518391787852864,8.297690333618478,4.020530367835757,4.020530367835757,5.389221556886228,SPD-GRÜNE,GRÜNE
12036 Altewiekring-Südost,1364,36.58357771260997,26.5892002734108,9.295967190704033,36.7053998632946,2.5974025974025974,4.579630895420369,7.382091592617908,6.630211893369788,6.220095693779904,SPD-GRÜNE,GRÜNE
12037 Georg-Westermann-Allee,1273,32.20738413197172,28.30665543386689,11.457455770850885,33.782645324347094,4.296545914069082,6.739679865206402,5.054759898904802,4.633529907329402,5.728727885425442,SPD-GRÜNE,GRÜNE
13001 Inselwall,976,27.66393442622951,24.581724581724583,18.53281853281853,24.581724581724583,3.2175032175032174,6.177606177606178,8.236808236808237,7.850707850707852,6.82110682110682,SPD-GRÜNE,SPD
13002 Am Hagenmarkt,1268,26.735015772870664,28.29417773237998,11.133810010214505,27.27272727272727,3.983656792645557,6.945863125638406,4.800817160367722,7.763023493360572,9.805924412665986,SPD-GRÜNE,SPD
13003 An der Katharinenkirche,1246,23.35473515248796,22.89156626506024,15.060240963855422,32.16867469879518,5.301204819277109,4.216867469879518,7.951807228915662,5.421686746987952,6.987951807228916,SPD-GRÜNE,GRÜNE
13004 Wendentorwall,1128,24.46808510638298,23.651960784313726,17.647058823529413,27.573529411764707,3.9215686274509802,4.901960784313726,5.637254901960785,10.294117647058822,6.372549019607843,SPD-GRÜNE,GRÜNE
13011 Am Schloßpark,1246,29.935794542536115,26.63594470046083,17.972350230414747,33.36405529953917,3.778801843317972,2.9493087557603688,4.700460829493087,4.976958525345622,5.622119815668203,SPD-GRÜNE,GRÜNE
13012 Kennedyplatz,1435,25.71428571428571,22.727272727272727,15.67717996289425,30.519480519480517,4.267161410018553,3.9888682745825603,7.328385899814471,10.111317254174397,5.380333951762523,SPD-GRÜNE,GRÜNE
13013 An der Martinikirche,1251,27.89768185451639,24.26326129666012,13.7524557956778,30.94302554027505,4.12573673870334,3.43811394891945,8.153241650294696,9.823182711198427,5.50098231827112,SPD-GRÜNE,GRÜNE
