,Wahlberechtigte,Wahlbeteiligung,CDU (Erststimmen),CDU (Zweitstimmen),SPD (Erststimmen),SPD (Zweitstimmen),FDP (Erststimmen),FDP (Zweitstimmen),AfD (Erststimmen),AfD (Zweitstimmen),GRÜNE (Erststimmen),GRÜNE (Zweitstimmen),DIE LINKE (Erststimmen),DIE LINKE (Zweitstimmen),BIBS (Erststimmen),Die PARTEI (Zweitstimmen),Sonstige (Erststimmen),Sonstige (Zweitstimmen),Stimmenmehrheiten (Erststimmen),Stimmenmehrheiten (Zweitstimmen)
11101 Hondelage-Ost,1114.0,65.35008976660683,37.67313019390582,33.19502074688796,39.75069252077562,30.567081604426004,6.64819944598338,12.448132780082988,7.617728531855955,7.192254495159059,3.739612188365651,6.36237897648686,3.4626038781163437,4.149377593360995,1.10803324099723,2.2130013831258646,0.0,3.872752420470263,CDU-FDP,CDU-FDP
11102 Hondelage-Mitte/Gewerbegebiet,995.0,58.99497487437186,34.5360824742268,32.068965517241374,37.97250859106529,29.82758620689655,6.701030927835052,9.137931034482758,9.793814432989691,11.379310344827587,4.810996563573884,7.241379310344828,5.841924398625429,6.724137931034482,0.1718213058419244,0.8620689655172413,0.1718213058419244,2.7586206896551726,SPD-GRÜNE,CDU-FDP
11103 Hondelage-West,989.0,59.04954499494439,33.44887348353553,29.289428076256502,41.074523396880416,32.40901213171577,5.1993067590987865,9.01213171577123,9.532062391681109,11.611785095320624,4.506065857885615,6.759098786828423,4.506065857885615,6.932409012131716,1.733102253032929,0.5199306759098787,0.0,3.466204506065858,SPD-GRÜNE,SPD-GRÜNE
11111 Dibbesdorf,1199.0,65.63803169307756,36.52618135376756,35.28662420382165,37.80332056194125,26.62420382165605,6.513409961685824,9.044585987261145,6.896551724137931,7.643312101910828,6.7688378033205625,10.573248407643312,4.725415070242656,6.496815286624204,0.6385696040868455,0.7643312101910829,0.1277139208173691,3.56687898089172,SPD-GRÜNE,CDU-FDP
11121 Volkmarode-Ost,1463.0,59.87696514012304,38.275862068965516,35.172413793103445,37.93103448275862,24.942528735632184,5.517241379310345,10.919540229885058,5.977011494252873,6.551724137931035,7.471264367816093,12.758620689655173,3.4482758620689653,5.977011494252873,1.1494252873563218,0.8045977011494253,0.22988505747126436,2.8735632183908044,SPD-GRÜNE,CDU-FDP
11122 Volkmarode-West,1625.0,54.15384615384615,36.22857142857143,35.42857142857142,36.8,25.142857142857146,6.2857142857142865,11.200000000000001,7.428571428571429,8.799999999999999,7.542857142857143,10.742857142857144,4.0,4.571428571428571,1.4857142857142858,1.3714285714285714,0.2285714285714286,2.742857142857143,SPD-GRÜNE,CDU-FDP
11131 Schapen,1318.0,56.752655538694995,41.318977119784655,35.08064516129033,35.1278600269179,20.56451612903226,6.594885598923284,15.591397849462366,6.3257065948856,6.451612903225806,4.710632570659488,12.231182795698924,5.114401076716016,7.661290322580645,0.8075370121130552,0.9408602150537635,0.0,1.478494623655914,CDU-FDP,CDU-FDP
11201 Bevenrode,1212.0,66.17161716171617,36.0655737704918,34.465408805031444,35.56116015132408,23.144654088050316,4.791929382093317,11.446540880503145,8.701134930643127,9.685534591194969,6.305170239596469,9.056603773584905,4.539722572509458,6.7924528301886795,3.909205548549811,1.3836477987421385,0.12610340479192939,4.0251572327044025,SPD-GRÜNE,CDU-FDP
11211 Waggum-Ost,1325.0,61.886792452830186,32.349323493234934,31.157635467980292,37.269372693726936,29.310344827586203,6.642066420664207,9.975369458128078,8.364083640836409,8.74384236453202,6.273062730627306,9.482758620689655,5.289052890528905,7.0197044334975365,3.6900369003690034,1.7241379310344827,0.12300123001230012,2.586206896551724,SPD-GRÜNE,CDU-FDP
11212 Waggum-West,1150.0,59.130434782608695,37.40685543964232,31.93403298350825,37.5558867362146,28.035982008995504,5.216095380029806,13.6431784107946,6.557377049180328,6.746626686656672,5.216095380029806,10.194902548725636,4.470938897168406,6.296851574212893,3.427719821162444,0.8995502248875562,0.14903129657228018,2.2488755622188905,SPD-GRÜNE,CDU-FDP
11221 Bienrode,1356.0,59.29203539823009,35.93947036569987,34.217171717171716,39.21815889029004,30.681818181818183,5.674653215636822,9.974747474747476,8.07061790668348,8.712121212121213,4.665825977301387,6.4393939393939394,5.296343001261034,6.313131313131313,0.8827238335435058,0.3787878787878788,0.25220680958385877,3.2828282828282833,SPD-GRÜNE,CDU-FDP
11231 Querum-Nord,876.0,61.073059360730596,38.59315589353612,35.27204502814259,36.69201520912547,21.013133208255162,6.653992395437262,14.071294559099437,6.083650190114068,6.0037523452157595,6.653992395437262,12.94559099437148,3.9923954372623576,6.941838649155723,1.3307984790874523,0.5628517823639775,0.0,3.189493433395872,CDU-FDP,CDU-FDP
11232 Querum-Nordost,929.0,47.68568353067815,39.04109589041096,33.48519362186788,32.64840182648402,17.539863325740317,7.534246575342466,16.173120728929387,6.392694063926941,8.200455580865604,8.21917808219178,12.756264236902052,5.251141552511415,9.567198177676538,0.91324200913242,1.1389521640091116,0.0,1.1389521640091116,CDU-FDP,CDU-FDP
11241 Querum-Ost,912.0,57.127192982456144,35.797665369649806,31.2621359223301,39.29961089494164,26.407766990291265,3.8910505836575875,8.54368932038835,6.22568093385214,7.572815533980583,7.392996108949417,13.203883495145632,6.031128404669261,8.737864077669903,1.3618677042801557,1.1650485436893203,0.0,3.1067961165048543,SPD-GRÜNE,CDU-FDP
11242 Querum-Mitte,1286.0,56.842923794712284,32.36914600550964,29.807692307692307,38.29201101928375,26.923076923076923,4.132231404958678,8.379120879120878,7.024793388429752,7.0054945054945055,7.7134986225895315,11.675824175824175,9.090909090909092,10.43956043956044,1.3774104683195594,1.6483516483516485,0.0,4.1208791208791204,SPD-GRÜNE,SPD-GRÜNE
11243 Querum-West,1172.0,55.034129692832764,27.472527472527474,24.56964006259781,42.700156985871274,33.33333333333333,4.081632653061225,7.042253521126761,8.791208791208792,9.389671361502346,8.47723704866562,12.050078247261347,7.064364207221351,8.607198748043817,1.098901098901099,1.0954616588419406,0.3139717425431711,3.912363067292645,SPD-GRÜNE,SPD-GRÜNE
11251 Pappelberg,1324.0,55.66465256797583,30.24523160762943,30.64295485636115,44.141689373297005,30.779753761969904,3.1335149863760217,7.7975376196990425,9.809264305177113,10.6703146374829,5.858310626702997,10.94391244870041,5.5858310626703,6.019151846785226,1.226158038147139,0.8207934336525308,0.0,2.3255813953488373,SPD-GRÜNE,SPD-GRÜNE
11252 Gliesmarode-Südost,1220.0,56.393442622950815,35.8600583090379,30.029154518950435,35.42274052478135,25.072886297376094,7.288629737609329,13.411078717201166,7.871720116618077,9.475218658892128,6.997084548104956,11.661807580174926,5.247813411078718,7.871720116618077,1.0204081632653061,0.8746355685131195,0.2915451895043732,1.6034985422740524,CDU-FDP,CDU-FDP
