"Gebiet";"Wert"
"11201 Bevenrode";24.4
"11211 Waggum-Ost";28.3
"11212 Waggum-West";24.4
"11221 Bienrode";19.6
"11231 Querum-Nord";28.9
"11232 Querum-Nord-Ost";28.9
"11241 Querum-Ost";28.2
"11242 Querum-Mitte";29.7
"11243 Querum-West";28.6
"11251 Pappelberg";23.6
"11252 Gliesmarode-Südost";30.8
"11253 Gliesmarode-Mitte";32.5
"11254 Gliesmarode-Nord";35.3
"11261 Riddagshausen";35
"11301 Hondelage-Ost";16.1
"11302 Hondelage-Mitte/Gewerbegebiet";22.4
"11303 Hondelage-West";19.2
"11401 Dibbesdorf";24.2
"11411 Volkmarode-Ost";25.8
"11412 Volkmarode-West";28.4
"11421 Schapen";28.3
"12001 Gliesmaroder Straße-Nordost ";34.1
"12002 Karlstraße-Mitte ";41.8
"12003 Gliesmaroder Straße-Ost";40.7
"12004 Malerviertel";44.1
"12005 An der Paulikirche";44.2
"12006 Hagenring";42.1
"12011 Humboldtstraße";46.2
"12012 Kasernenstraße";41.4
"12021 Am Theater";42.5
"12022 Giersberg";36.6
"12031 Stadtpark";44.1
"12032 Prinzenpark-Nord";41.1
"12033 Kastanienallee";45
"12034 Prinzenpark-Mitte";37.1
"12035 Prinzenpark-Süd";42.5
"12036 Altewiekring-Südost";40.6
"12037 Georg-Westermann-Allee";40.4
"13101 Inselwall";31.2
"13102 Am Hagenmarkt";33.3
"13103 An der Katharinenkirche";35.3
"13104 Wendentorwall";36.6
"13111 Am Schloßpark";31.2
"13112 Kennedyplatz";32.8
"13113 An der Martinikirche ";32.4
"13114 Gördelingerstraße ";31
"13115 Am Neustadtmühlengraben ";30.3
"13201 Adolfstraße/Leonhardstraße";40.5
"13202 An der Stadthalle";35
"13203 Viewegs-Garten";36.3
"13204 Rimpaus-Garten";36.2
"13205 Am Bürgerpark";37.8
"13211 Hauptbahnhof";30.6
"13212 Streitberg/Hauptfriedhof";32.1
"13221 Zuckerberg";26.7
"13231 Bebelhof-West";21
"13232 Bebelhof-Ost";26.9
"21101 Stöckheim-Nordost";26.8
"21102 Stöckheim-Südost";25.3
"21103 Stöckheim-West";25.6
"21104 Stöckheim-Nordwest";32.2
"21111 Leiferde";23.4
"21201 Heidberg-Nordost";20.3
"21202 Am Schulzentrum Heidberg";20.5
"21203 Heidberg-Südost";17.9
"21204 Heidberg-Südwest";17
"21205 Heidberg-Zentrum ";13.7
"21206 Heidberg-Nordwest";20.5
"21211 Melverode-Südwest";27.1
"21212 Melverode-Nord";23.6
"21213 Melverode-Südost";19.7
"21301 Mastbruch-Siedlung";28
"21311 Rautheim-West";23
"21312 Rautheim-Ost";30.2
"21321 Lindenberg-West";22.4
"21322 Lindenberg-Ost";29.1
"21331 Südstadt-Ost";26
"21332 Südstadt-West";28.3
"21341 Mascherode-Mitte";23.4
"21342 Mascherode-Süd";25.2
"21343 Mascherode-Nordwest";26.7
"22101 Rheinring-Ost";19.9
"22102 Emsstraße-West";12.5
"22103 Elbestraße-Ost";10.9
"22104 Rheinring-Südwest";15.1
"22105 Rheinring-Nordwest";15.9
"22111 Elbestraße-Süd";12.1
"22112 Saalestraße";16.8
"22113 Ilmenaustraße";14.3
"22114 Weserstraße";17.8
"22115 Isarstraße";15.1
"22116 Lechstraße";22.5
"22121 Münchenstraße-Südost";16
"22122 Neckarstraße";13.7
"22123 Lahnstraße";15.2
"22201 Timmerlah-West";20.9
"22202 Timmerlah-Ost";24.7
"22211 Stiddien";21.5
"22221 Geitelde";20.4
"22301 Broitzem-Nordwest";19.9
"22302 Broitzem-Südwest";20.8
"22303 Broitzem-Südost";21.2
"22304 Broitzem-Nordost";26.6
"22401 Rüningen-Nord";17.6
"22402 Rüningen-Süd";18.6
"31001 Eichtal ";30
"31002 Am Weißen Roß";30.5
"31003 Celler Straße-Nordwest ";29.7
"31011 Am Maschplatz";38.7
"31012 Am Amalienplatz";35
"31013 Rudolfplatz-Ost";34.8
"31014 Rennelberg";35.6
"31015 Holwedestraße";39
"31016 Sackring-Ost";26
"31021 Rudolfplatz-West";25.2
"31022 Sackring-West";31.9
"31031 Altstadtring-Nord";29
"31032 Altstadtring-Süd";30
"31033 Altstadtring-West";33.5
"31034 Am Großmarkt";28.5
"31041 Westbahnhof";33.5
"31042 Cyriaksring-Ost";32.7
"31043 Juliusstraße-Ost";36.6
"31044 Frankfurter Straße-Ost";31.5
"31045 Frankfurter Straße-West";34.3
"31051 Gartenstadt-Ost";28.7
"31052 Gartenstadt-West";23.3
"32101 Kanzlerfeld-West";22.3
"32102 Kanzlerfeld-Südwest";24.4
"32103 Kanzlerfeld-Ost";26.6
"32111 Horstbleek";35.1
"32112 Lehndorf-Siedlung-Nord";31.2
"32113 Lehndorf-Alt";23.7
"32114 Lehndorf-Mitte";32
"32115 Lehndorf-Siedlung-Süd";34.1
"32121 Lamme-Nord";24.3
"32122 Lamme-Süd";26.2
"32123 Lamme-Ost";26.9
"32131 Völkenrode";27.9
"32141 Watenbüttel-Nordost";21
"32142 Watenbüttel-Südwest";24.5
"32151 Ölper";29.2
"32201 Veltenhof-Nord";20.7
"32202 Veltenhof-Süd";22.2
"32211 Lincolnsiedlung";18.7
"32212 Vorwerksiedlung";20.8
"32301 Harxbüttel";30.6
"32311 Thune";23.4
"32321 Wenden-Nordwest";19.6
"32322 Wenden-Ost";22
"32323 Wenden-Südwest";18.3
"33101 Schwarzer Berg-Süd";24.5
"33102 Schwarzer Berg-Mitte";22.2
"33103 Schwarzer Berg-West";17.4
"33104 Schwarzer Berg-Nordwest";18.3
"33111 Siegfriedviertel-Nord";30.5
"33112 Siegfriedviertel-Nordost";26.3
"33113 Siegfriedviertel-Südost";25.5
"33114 Siegfriedviertel-Mitte";26.5
"33115 Siegfriedviertel-Südwest";22.6
"33116 Siegfriedviertel-West";19.9
"33121 Wendenring-Süd";40.3
"33122 Wendenring-Nord";37.2
"33123 Am Nordbahnhof";39.3
"33124 Neues Hochschulviertel";37.3
"33125 Rebenring-Nord";36.9
"33126 Altes Hochschulviertel";38.5
"33201 Kralenriede-Nordwest";28.4
"33202 Kralenriede-Südost";24.1
"33211 Schuntersiedlung-West";27.4
"33212 Schuntersiedlung-Ost";31.4
