"Gebiet";"Wert"
"11201 Bevenrode";1224
"11211 Waggum-Ost";1328
"11212 Waggum-West";1277
"11221 Bienrode";1345
"11231 Querum-Nord";872
"11232 Querum-Nord-Ost";924
"11241 Querum-Ost";872
"11242 Querum-Mitte";1277
"11243 Querum-West";1189
"11251 Pappelberg";1291
"11252 Gliesmarode-Südost";1229
"11253 Gliesmarode-Mitte";1106
"11254 Gliesmarode-Nord";1399
"11261 Riddagshausen";414
"11301 Hondelage-Ost";1096
"11302 Hondelage-Mitte/Gewerbegebiet";976
"11303 Hondelage-West";964
"11401 Dibbesdorf";1179
"11411 Volkmarode-Ost";1447
"11412 Volkmarode-West";1607
"11421 Schapen";1299
"12001 Gliesmaroder Straße-Nordost ";1290
"12002 Karlstraße-Mitte ";1090
"12003 Gliesmaroder Straße-Ost";1198
"12004 Malerviertel";1304
"12005 An der Paulikirche";1218
"12006 Hagenring";1254
"12011 Humboldtstraße";1227
"12012 Kasernenstraße";1336
"12021 Am Theater";1454
"12022 Giersberg";1465
"12031 Stadtpark";1320
"12032 Prinzenpark-Nord";1146
"12033 Kastanienallee";1093
"12034 Prinzenpark-Mitte";967
"12035 Prinzenpark-Süd";1069
"12036 Altewiekring-Südost";1370
"12037 Georg-Westermann-Allee";1302
"13101 Inselwall";974
"13102 Am Hagenmarkt";1220
"13103 An der Katharinenkirche";1297
"13104 Wendentorwall";1084
"13111 Am Schloßpark";1216
"13112 Kennedyplatz";1328
"13113 An der Martinikirche ";1186
"13114 Gördelingerstraße ";1097
"13115 Am Neustadtmühlengraben ";1169
"13201 Adolfstraße/Leonhardstraße";1315
"13202 An der Stadthalle";1104
"13203 Viewegs-Garten";1247
"13204 Rimpaus-Garten";931
"13205 Am Bürgerpark";1026
"13211 Hauptbahnhof";665
"13212 Streitberg/Hauptfriedhof";681
"13221 Zuckerberg";793
"13231 Bebelhof-West";995
"13232 Bebelhof-Ost";1040
"21101 Stöckheim-Nordost";1207
"21102 Stöckheim-Südost";1206
"21103 Stöckheim-West";1292
"21104 Stöckheim-Nordwest";1311
"21111 Leiferde";1497
"21201 Heidberg-Nordost";1035
"21202 Am Schulzentrum Heidberg";1073
"21203 Heidberg-Südost";953
"21204 Heidberg-Südwest";899
"21205 Heidberg-Zentrum ";1140
"21206 Heidberg-Nordwest";1167
"21211 Melverode-Südwest";1017
"21212 Melverode-Nord";937
"21213 Melverode-Südost";997
"21301 Mastbruch-Siedlung";278
"21311 Rautheim-West";1310
"21312 Rautheim-Ost";1410
"21321 Lindenberg-West";1009
"21322 Lindenberg-Ost";964
"21331 Südstadt-Ost";1216
"21332 Südstadt-West";1011
"21341 Mascherode-Mitte";967
"21342 Mascherode-Süd";1011
"21343 Mascherode-Nordwest";1104
"22101 Rheinring-Ost";1304
"22102 Emsstraße-West";1065
"22103 Elbestraße-Ost";1210
"22104 Rheinring-Südwest";1188
"22105 Rheinring-Nordwest";1147
"22111 Elbestraße-Süd";1067
"22112 Saalestraße";1286
"22113 Ilmenaustraße";1280
"22114 Weserstraße";1212
"22115 Isarstraße";1118
"22116 Lechstraße";1084
"22121 Münchenstraße-Südost";1148
"22122 Neckarstraße";905
"22123 Lahnstraße";1078
"22201 Timmerlah-West";860
"22202 Timmerlah-Ost";910
"22211 Stiddien";176
"22221 Geitelde";894
"22301 Broitzem-Nordwest";1247
"22302 Broitzem-Südwest";1239
"22303 Broitzem-Südost";944
"22304 Broitzem-Nordost";1128
"22401 Rüningen-Nord";1091
"22402 Rüningen-Süd";1176
