"Gebiet";"Wert"
"11201 Bevenrode";57.4
"11211 Waggum-Ost";53.2
"11212 Waggum-West";54.7
"11221 Bienrode";47.2
"11231 Querum-Nord";52.9
"11232 Querum-Nord-Ost";46.9
"11241 Querum-Ost";49.1
"11242 Querum-Mitte";47.8
"11243 Querum-West";47.3
"11251 Pappelberg";46.1
"11252 Gliesmarode-Südost";48.7
"11253 Gliesmarode-Mitte";47.2
"11254 Gliesmarode-Nord";50
"11261 Riddagshausen";54.6
"11301 Hondelage-Ost";52.1
"11302 Hondelage-Mitte/Gewerbegebiet";51.9
"11303 Hondelage-West";51.3
"11401 Dibbesdorf";59.5
"11411 Volkmarode-Ost";53.8
"11412 Volkmarode-West";49.8
"11421 Schapen";56.7
"12001 Gliesmaroder Straße-Nordost ";46.5
"12002 Karlstraße-Mitte ";52
"12003 Gliesmaroder Straße-Ost";51.9
"12004 Malerviertel";58.9
"12005 An der Paulikirche";61.3
"12006 Hagenring";58.1
"12011 Humboldtstraße";48.6
"12012 Kasernenstraße";49.9
"12021 Am Theater";50.3
"12022 Giersberg";50.4
"12031 Stadtpark";59.2
"12032 Prinzenpark-Nord";56
"12033 Kastanienallee";55.7
"12034 Prinzenpark-Mitte";52.3
"12035 Prinzenpark-Süd";58.4
"12036 Altewiekring-Südost";54.7
"12037 Georg-Westermann-Allee";47.8
"13101 Inselwall";42.8
"13102 Am Hagenmarkt";42.8
"13103 An der Katharinenkirche";39.6
"13104 Wendentorwall";42.1
"13111 Am Schloßpark";43.7
"13112 Kennedyplatz";44.3
"13113 An der Martinikirche ";45.2
"13114 Gördelingerstraße ";46.2
"13115 Am Neustadtmühlengraben ";42.2
"13201 Adolfstraße/Leonhardstraße";57.4
"13202 An der Stadthalle";49.4
"13203 Viewegs-Garten";48.7
"13204 Rimpaus-Garten";53.8
"13205 Am Bürgerpark";46.7
"13211 Hauptbahnhof";38
"13212 Streitberg/Hauptfriedhof";44.1
"13221 Zuckerberg";49.3
"13231 Bebelhof-West";31.9
"13232 Bebelhof-Ost";40.7
"21101 Stöckheim-Nordost";49.8
"21102 Stöckheim-Südost";54.8
"21103 Stöckheim-West";54.5
"21104 Stöckheim-Nordwest";55.3
"21111 Leiferde";52.8
"21201 Heidberg-Nordost";46.3
"21202 Am Schulzentrum Heidberg";45.9
"21203 Heidberg-Südost";40.8
"21204 Heidberg-Südwest";44.3
"21205 Heidberg-Zentrum ";37.5
"21206 Heidberg-Nordwest";44.2
"21211 Melverode-Südwest";50.7
"21212 Melverode-Nord";45.3
"21213 Melverode-Südost";49.2
"21301 Mastbruch-Siedlung";42.8
"21311 Rautheim-West";49.1
"21312 Rautheim-Ost";52.7
"21321 Lindenberg-West";46.2
"21322 Lindenberg-Ost";52.8
"21331 Südstadt-Ost";53.1
"21332 Südstadt-West";54
"21341 Mascherode-Mitte";51.7
"21342 Mascherode-Süd";55.8
"21343 Mascherode-Nordwest";53.2
"22101 Rheinring-Ost";36.1
"22102 Emsstraße-West";27.7
"22103 Elbestraße-Ost";23.8
"22104 Rheinring-Südwest";39.6
"22105 Rheinring-Nordwest";46.5
"22111 Elbestraße-Süd";26.8
"22112 Saalestraße";28.2
"22113 Ilmenaustraße";38.4
"22114 Weserstraße";38.1
"22115 Isarstraße";32.8
"22116 Lechstraße";30.4
"22121 Münchenstraße-Südost";21.1
"22122 Neckarstraße";28.4
"22123 Lahnstraße";26.4
"22201 Timmerlah-West";50.6
"22202 Timmerlah-Ost";57
"22211 Stiddien";63.1
"22221 Geitelde";55.3
"22301 Broitzem-Nordwest";45.8
"22302 Broitzem-Südwest";51.6
"22303 Broitzem-Südost";51.7
"22304 Broitzem-Nordost";49.2
"22401 Rüningen-Nord";44.9
"22402 Rüningen-Süd";42.3
"31001 Eichtal ";39.8
"31002 Am Weißen Roß";44.5
"31003 Celler Straße-Nordwest ";38.5
"31011 Am Maschplatz";44.5
"31012 Am Amalienplatz";46.1
"31013 Rudolfplatz-Ost";39
"31014 Rennelberg";36.9
"31015 Holwedestraße";47.8
"31016 Sackring-Ost";44.4
"31021 Rudolfplatz-West";46.5
"31022 Sackring-West";47.6
"31031 Altstadtring-Nord";38.1
"31032 Altstadtring-Süd";45.1
"31033 Altstadtring-West";42.9
"31034 Am Großmarkt";38.6
"31041 Westbahnhof";42.7
"31042 Cyriaksring-Ost";48.7
"31043 Juliusstraße-Ost";48
"31044 Frankfurter Straße-Ost";46.2
"31045 Frankfurter Straße-West";40.5
"31051 Gartenstadt-Ost";55.3
"31052 Gartenstadt-West";44.8
"32101 Kanzlerfeld-West";57
"32102 Kanzlerfeld-Südwest";62.7
"32103 Kanzlerfeld-Ost";59.4
"32111 Horstbleek";51.7
"32112 Lehndorf-Siedlung-Nord";47.2
"32113 Lehndorf-Alt";45.7
"32114 Lehndorf-Mitte";43.9
"32115 Lehndorf-Siedlung-Süd";52.5
"32121 Lamme-Nord";54.2
"32122 Lamme-Süd";51.9
"32123 Lamme-Ost";49.3
"32131 Völkenrode";54.5
"32141 Watenbüttel-Nordost";49.1
"32142 Watenbüttel-Südwest";53.3
"32151 Ölper";52.4
"32201 Veltenhof-Nord";45.6
"32202 Veltenhof-Süd";51.3
"32211 Lincolnsiedlung";42.1
"32212 Vorwerksiedlung";37.2
"32301 Harxbüttel";59
"32311 Thune";54.6
"32321 Wenden-Nordwest";48.8
"32322 Wenden-Ost";44
"32323 Wenden-Südwest";45.5
"33101 Schwarzer Berg-Süd";45.9
