,Wahlberechtigte ,Wahlbeteiligung,SPD (Erststimmen),SPD (Zweitstimmen),CDU (Erststimmen),CDU (Zweitstimmen),GRÜNE (Erststimmen),GRÜNE (Zweitstimmen),FDP (Erststimmen),FDP (Zweitstimmen),AfD (Erststimmen),AfD (Zweitstimmen),DIE LINKE. (Erststimmen),DIE LINKE. (Zweitstimmen),Sonstige (Erststimmen),Sonstige (Zweitstimmen),Stimmenmehrheiten Erststimmen,Stimmenmehrheiten Zweitstimmen,Stärkste Partei Erststimmen,Stärkste Partei Zweitstimmen
11101 Hondelage-Ost,1115,58.206278026905835,46.04651162790698,39.10355486862442,34.57364341085271,32.1483771251932,3.565891472868217,6.9551777434312205,8.062015503875969,10.973724884080372,5.736434108527131,5.4095826893353935,2.0155038759689923,2.1638330757341575,0,3.2457496136012365,SPD-GRÜNE,SPD-GRÜNE,.,.
11102 Hondelage-Mitte/Gewerbegebiet,995,54.87437185929648,46.494464944649444,42.988929889298895,30.25830258302583,28.59778597785978,5.350553505535055,6.273062730627306,6.4575645756457565,7.195571955719557,7.380073800738007,8.302583025830259,4.059040590405904,4.243542435424354,0,2.3985239852398523,SPD-GRÜNE,SPD-GRÜNE,.,.
11103 Hondelage-West,980,56.93877551020409,48.74551971326165,43.98563734290844,31.182795698924732,28.904847396768403,4.301075268817205,5.9245960502693,6.093189964157706,7.899461400359066,5.555555555555555,6.283662477558348,4.121863799283155,3.7701974865350087,0,3.231597845601436,SPD-GRÜNE,SPD-GRÜNE,.,.
11111 Dibbesdorf,1188,59.34343434343434,47.19424460431655,41.36947218259629,31.22302158273381,28.530670470756064,7.482014388489208,10.128388017118402,5.755395683453238,8.7018544935806,5.899280575539569,5.706134094151213,2.446043165467626,2.5677603423680457,0,2.9957203994293864,SPD-GRÜNE,SPD-GRÜNE,.,.
11121 Volkmarode-Ost,1451,57.40868366643694,44.256348246674726,41.395908543922985,34.46191051995163,30.20457280385078,9.673518742442564,10.709987966305656,4.71584038694075,7.3405535499398304,4.111245465538089,4.57280385078219,2.781136638452237,3.369434416365824,0,2.406738868832732,SPD-GRÜNE,SPD-GRÜNE,.,.
11122 Volkmarode-West,1620,50.80246913580246,42.61294261294261,37.80487804878049,35.53113553113553,30.975609756097562,7.203907203907203,9.634146341463415,5.4945054945054945,9.512195121951219,6.471306471306472,6.097560975609756,2.6862026862026864,3.414634146341464,0,2.5609756097560976,SPD-GRÜNE,SPD-GRÜNE,.,.
11131 Schapen,1307,58.760520275439944,37.22149410222805,32.41830065359477,40.23591087811271,35.03267973856209,7.339449541284404,9.15032679738562,6.8152031454783755,11.11111111111111,5.6356487549148095,5.098039215686274,2.7522935779816518,4.967320261437909,0,2.2222222222222223,CDU-FDP,CDU-FDP,.,.
11201 Bevenrode,1215,58.18930041152264,45.15669515669516,38.06818181818182,31.339031339031337,29.829545454545453,7.54985754985755,10.085227272727272,5.84045584045584,7.8125,5.413105413105413,5.5397727272727275,4.700854700854701,5.113636363636364,0,3.5511363636363638,SPD-GRÜNE,SPD-GRÜNE,.,.
11211 Waggum-Ost,1319,53.67702805155421,50.14204545454546,43.76770538243626,26.988636363636363,25.920679886685555,8.096590909090908,9.490084985835693,5.255681818181818,7.507082152974505,6.8181818181818175,6.9405099150141645,2.6988636363636362,2.974504249291785,0,3.39943342776204,SPD-GRÜNE,SPD-GRÜNE,.,.
11212 Waggum-West,1156,55.27681660899654,50.315457413249206,42.51968503937008,29.02208201892745,28.818897637795278,6.309148264984227,9.606299212598426,6.466876971608833,7.4015748031496065,5.047318611987381,5.196850393700787,2.8391167192429023,4.409448818897638,0,2.047244094488189,SPD-GRÜNE,SPD-GRÜNE,.,.
