,Wahlberechtigte,Wahlbeteiligung,SPD (Erststimmen),SPD (Zweitstimmen),CDU (Erststimmen),CDU (Zweitstimmen),GRÜNE (Erststimmen),GRÜNE (Zweitstimmen),FDP (Erststimmen),FDP (Zweitstimmen),AfD (Erststimmen),AfD (Zweitstimmen),DIE LINKE. (Erststimmen),DIE LINKE. (Zweitstimmen),Sonstige (Erststimmen),Sonstige (Zweitstimmen),Stimmenmehrheiten Erststimmen,Stimmenmehrheiten Zweitstimmen,Stärkste Partei Erststimmen,Stärkste Partei Zweitstimmen
11101 Hondelage-Ost,1089,47.842056932966024,43.190661478599225,36.89320388349515,29.571984435797667,27.57281553398058,10.894941634241246,13.980582524271846,2.9182879377431905,5.048543689320388,9.72762645914397,10.679611650485436,2.140077821011673,2.524271844660194,1.556420233463035,3.300970873786408,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11102 Hondelage-Mitte/Gewerbegebiet,955,43.35078534031413,44.66019417475729,42.092457420924575,29.126213592233007,26.277372262773724,9.466019417475728,10.46228710462287,1.6990291262135921,2.9197080291970803,8.980582524271846,9.48905109489051,2.1844660194174756,2.9197080291970803,3.8834951456310676,5.839416058394161,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11103 Hondelage-West,928,44.935344827586206,41.50485436893204,37.19806763285024,30.097087378640776,28.985507246376812,9.951456310679612,14.251207729468598,3.1553398058252426,4.1062801932367154,9.70873786407767,8.695652173913043,1.4563106796116505,1.4492753623188406,4.12621359223301,5.314009661835748,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11111 Dibbesdorf,1146,47.55671902268761,40.03690036900369,37.31617647058824,30.073800738007378,26.10294117647059,14.760147601476014,17.463235294117645,3.3210332103321036,4.227941176470589,6.826568265682657,6.985294117647059,1.4760147601476015,2.0220588235294117,3.505535055350553,5.88235294117647,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11121 Volkmarode-Ost,1423,43.64019676739283,36.30470016207455,33.22528363047002,29.983792544570502,23.014586709886547,18.80064829821718,23.3387358184765,4.213938411669368,6.3209076175040515,4.862236628849271,5.834683954619125,2.2690437601296596,2.2690437601296596,3.565640194489465,5.9967585089141,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11122 Volkmarode-West,1594,37.39021329987453,36.486486486486484,32.939189189189186,27.027027027027028,23.64864864864865,19.08783783783784,22.12837837837838,5.0675675675675675,6.587837837837837,7.094594594594595,7.601351351351352,1.8581081081081081,2.195945945945946,3.3783783783783785,4.898648648648648,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11131 Schapen,1311,47.9023646071701,32.367149758454104,32.102728731942214,35.26570048309179,26.80577849117175,17.713365539452496,20.706260032102726,3.3816425120772946,6.5810593900481535,7.729468599033816,8.025682182985554,0.966183574879227,1.2841091492776886,2.576489533011272,4.49438202247191,SPD-GRÜNE,SPD-GRÜNE,CDU,SPD
11201 Bevenrode,1232,47.07792207792208,35.82608695652174,32.40418118466899,29.391304347826086,24.738675958188153,14.956521739130435,17.59581881533101,3.4782608695652173,5.923344947735192,8.347826086956523,9.581881533101045,3.130434782608696,2.6132404181184667,4.869565217391305,7.142857142857142,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11211 Waggum-Ost,1258,39.507154213036564,42.943548387096776,40.2834008097166,23.790322580645164,22.672064777327936,13.104838709677418,15.587044534412955,3.8306451612903225,3.8461538461538463,9.67741935483871,9.919028340080972,1.8145161290322582,2.0242914979757085,4.838709677419355,5.668016194331984,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11212 Waggum-West,1276,44.357366771159874,35.46099290780142,36.17021276595745,25,22.69503546099291,17.5531914893617,16.843971631205672,4.609929078014184,4.787234042553192,10.460992907801419,10.638297872340425,3.1914893617021276,3.0141843971631204,3.723404255319149,5.851063829787234,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11221 Bienrode,1319,43.51781652767248,36.042402826855124,33.215547703180206,30.918727915194346,27.385159010600706,12.014134275618375,14.840989399293287,3.356890459363958,5.30035335689046,11.837455830388691,12.014134275618375,1.5901060070671376,1.9434628975265018,4.240282685512367,5.30035335689046,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11231 Querum-Nord,835,45.26946107784431,32.53333333333333,29.86666666666667,33.06666666666666,30.933333333333334,19.2,20.8,6.4,9.066666666666666,4,3.4666666666666663,0.8,1.3333333333333335,4,4.533333333333333,SPD-GRÜNE,SPD-GRÜNE,CDU,CDU
11232 Querum-Nordost,898,40.200445434298445,29.805013927576603,28.61111111111111,26.740947075208915,22.77777777777778,20.891364902506965,20.27777777777778,8.913649025069638,10,9.47075208913649,10,1.392757660167131,1.3888888888888888,2.785515320334262,6.944444444444445,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11241 Querum-Ost,875,43.77142857142857,37.631578947368425,31.6622691292876,25.263157894736842,22.427440633245382,14.210526315789473,19.788918205804748,2.631578947368421,3.95778364116095,13.684210526315791,13.192612137203167,2.368421052631579,2.9023746701846966,4.2105263157894735,6.068601583113456,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11242 Querum-Mitte,1238,38.8529886914378,37.735849056603776,35.56485355648535,23.270440251572328,20.711297071129707,17.81970649895178,19.03765690376569,3.7735849056603774,5.439330543933055,7.966457023060797,7.949790794979079,4.612159329140461,3.1380753138075312,4.821802935010482,8.158995815899582,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11243 Querum-West,1109,37.51127141568981,37.68115942028986,33.89830508474576,18.115942028985508,16.222760290556902,21.497584541062803,23.24455205811138,1.4492753623188406,1.4527845036319613,11.83574879227053,12.34866828087167,3.864734299516908,4.358353510895883,5.555555555555555,8.47457627118644,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11251 Pappelberg,1429,39.25822253324003,41.54676258992806,35.61151079136691,23.201438848920862,21.402877697841728,15.647482014388489,19.784172661870503,2.877697841726619,5.935251798561151,9.172661870503598,8.81294964028777,2.877697841726619,3.237410071942446,4.676258992805756,5.215827338129497,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11252 Gliesmarode-Südost,1181,38.187976291278574,31.333333333333336,31.11111111111111,22.88888888888889,19.77777777777778,23.11111111111111,22,4.444444444444445,5.333333333333334,9.11111111111111,9.555555555555555,3.3333333333333335,4,5.777777777777778,8.222222222222223,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11253 Gliesmarode-Mitte,1079,37.627432808155696,34.15841584158416,30.864197530864196,23.51485148514851,20.74074074074074,25,26.913580246913583,4.207920792079208,6.666666666666667,6.9306930693069315,7.160493827160494,1.7326732673267329,1.9753086419753085,4.455445544554455,5.679012345679013,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11254 Gliesmarode-Nord,1623,37.09180529882933,35.63025210084034,29.86577181208054,23.19327731092437,23.657718120805367,23.865546218487395,26.677852348993287,5.378151260504202,5.704697986577181,4.705882352941177,5.033557046979865,3.0252100840336134,2.684563758389262,4.201680672268908,6.375838926174497,SPD-GRÜNE,SPD-GRÜNE,SPD,SPD
11261 Riddagshausen,416,48.07692307692308,26.13065326633166,29.441624365482234,24.120603015075375,20.812182741116754,33.165829145728644,29.441624365482234,2.0100502512562812,4.060913705583756,5.025125628140704,5.583756345177665,2.512562814070352,3.0456852791878175,7.035175879396985,7.614213197969544,SPD-GRÜNE,SPD-GRÜNE,GRÜNE,SPD
