,Wahlberechtigte,Wahlbeteiligung,SPD,CDU,GRÜNE,BIBS,DIE LINKE.,PIRATEN
11101 Hondelage-Ost,1135,45.55066079295154,46.40776699029126,41.16504854368932,5.631067961165048,2.7184466019417477,2.7184466019417477,1.3592233009708738
11102 Hondelage-Mitte/Gewerbegebiet,1039,42.829643888354184,47.95454545454545,35.22727272727273,6.136363636363637,6.363636363636363,2.5,1.8181818181818181
11103 Hondelage-West,1062,43.12617702448211,43.73626373626374,42.1978021978022,4.615384615384616,3.7362637362637363,3.9560439560439558,1.7582417582417582
11111 Dibbesdorf,1239,48.3454398708636,48.322147651006716,39.261744966442954,4.3624161073825505,4.697986577181208,1.174496644295302,2.1812080536912752
11121 Volkmarode-Ost,1551,47.06640876853643,47.107438016528924,38.84297520661157,5.647382920110193,4.40771349862259,1.9283746556473829,2.066115702479339
11122 Volkmarode-West,1603,41.297567061759196,45.8966565349544,40.72948328267477,5.623100303951368,3.951367781155015,1.6717325227963524,2.127659574468085
11131 Schapen,1352,53.40236686390533,42.083333333333336,45.416666666666664,6.666666666666667,3.194444444444444,1.9444444444444444,0.6944444444444444
11201 Bevenrode,1212,46.2046204620462,38.240574506283664,38.95870736086176,6.822262118491921,14.003590664272892,0.8976660682226212,1.0771992818671454
11211 Waggum-Ost,1343,43.26135517498139,41.84027777777778,34.02777777777778,3.4722222222222223,16.493055555555554,1.5625,2.604166666666667
11212 Waggum-West,1226,47.47145187601958,45.92720970537262,35.52859618717504,4.679376083188909,10.051993067590988,2.079722703639515,1.733102253032929
11221 Bienrode,1441,40.388619014573216,43.77162629757785,40.65743944636678,5.536332179930796,5.190311418685121,3.4602076124567476,1.384083044982699
11231 Querum-Nord,910,49.56043956043956,39.33333333333333,46,8.88888888888889,3.111111111111111,1.5555555555555556,1.1111111111111112
11232 Querum-Nordost,937,43.009605122732125,37.092731829573935,49.373433583959894,6.516290726817042,5.263157894736842,1.0025062656641603,0.7518796992481203
11241 Querum-Ost,950,43.89473684210527,41.88861985472155,46.73123486682809,4.842615012106537,4.358353510895883,1.2106537530266344,0.9685230024213075
11242 Querum-Mitte,1361,44.893460690668626,40.894039735099334,43.54304635761589,7.450331125827815,4.13907284768212,2.3178807947019866,1.6556291390728477
11243 Querum-West,1290,39.457364341085274,49.10891089108911,34.25742574257426,7.326732673267326,5.148514851485149,2.5742574257425743,1.5841584158415842
11251 Pappelberg,1399,40.600428877769836,44.38502673796791,39.39393939393939,6.23885918003565,6.417112299465241,2.3172905525846703,1.2477718360071302
11252 Gliesmarode-Südost,1306,42.57274119448699,41.26126126126126,43.6036036036036,6.846846846846846,4.324324324324325,1.4414414414414414,2.5225225225225225
