,Wahlberechtigte,Wahlbeteiligung,SPD,CDU,GRÜNE,AfD,BIBS,DIE LINKE.,Die PARTEI,EWV Gust,Stimmenmehrheit
11101 Hondelage-Ost,1159,41.84641932700604,40.824742268041234,38.144329896907216,9.690721649484537,4.742268041237113,2.0618556701030926,1.0309278350515463,3.0927835051546393,0.4123711340206186,SPD
11102 Hondelage-Mitte/Gewerbegebiet,1008,41.17063492063492,43.44660194174757,34.22330097087379,11.407766990291263,4.12621359223301,2.669902912621359,0.9708737864077669,1.4563106796116505,1.6990291262135921,SPD
11103 Hondelage-West,957,40.85684430512016,45.24421593830334,33.933161953727506,10.282776349614396,4.627249357326478,1.2853470437017995,1.5424164524421593,2.056555269922879,1.0282776349614395,SPD
11111 Dibbesdorf,1180,43.30508474576271,43.02554027504912,33.59528487229863,15.717092337917485,3.732809430255403,1.5717092337917484,0.9823182711198428,0.5893909626719057,0.7858546168958742,SPD
11121 Volkmarode-Ost,1500,40.400000000000006,40.26402640264026,31.683168316831683,18.48184818481848,3.7953795379537953,2.4752475247524752,1.8151815181518154,1.4851485148514851,0.0,SPD
11122 Volkmarode-West,1692,34.63356973995272,39.76109215017065,34.641638225255974,17.747440273037544,3.0716723549488054,2.901023890784983,0.8532423208191127,0.8532423208191127,0.17064846416382254,SPD
11131 Schapen,1337,40.83769633507853,38.786764705882355,35.47794117647059,19.11764705882353,3.308823529411765,0.7352941176470588,0.7352941176470588,1.2867647058823528,0.5514705882352942,SPD
11201 Bevenrode,1290,40.62015503875969,38.57965451055662,29.942418426103647,16.314779270633398,3.45489443378119,8.253358925143955,0.9596928982725527,1.5355086372360844,0.9596928982725527,SPD
11211 Waggum-Ost,1358,37.33431516936672,40.0398406374502,26.49402390438247,15.338645418326694,5.378486055776892,8.764940239043826,2.3904382470119523,0.9960159362549801,0.5976095617529881,SPD
11212 Waggum-West,1319,34.420015163002276,34.82142857142857,36.38392857142857,12.946428571428573,3.125,9.821428571428571,2.0089285714285716,0.4464285714285714,0.4464285714285714,CDU
11221 Bienrode,1394,35.1506456241033,39.83572895277207,35.52361396303901,11.088295687885012,7.186858316221765,3.285420944558522,1.2320328542094456,0.6160164271047228,1.2320328542094456,SPD
11231 Querum-Nord,882,35.827664399092974,32.278481012658226,44.303797468354425,17.72151898734177,3.481012658227848,1.2658227848101267,0.949367088607595,0,0.0,CDU
11232 Querum-Nordost,946,34.6723044397463,36.391437308868504,35.47400611620795,16.819571865443425,5.5045871559633035,2.4464831804281344,2.1406727828746175,0.9174311926605505,0.3058103975535168,SPD
11241 Querum-Ost,932,31.115879828326182,40.13840830449827,29.06574394463668,16.955017301038062,6.228373702422145,3.1141868512110724,3.1141868512110724,0.6920415224913495,0.6920415224913495,SPD
11242 Querum-Mitte,1317,33.78891419893698,41.891891891891895,28.82882882882883,15.54054054054054,4.954954954954955,2.7027027027027026,3.153153153153153,2.027027027027027,0.9009009009009009,SPD
11243 Querum-West,1171,32.19470538001708,41.55495978552279,20.37533512064343,21.179624664879356,6.166219839142091,4.557640750670242,3.485254691689008,1.876675603217158,0.8042895442359249,SPD
11251 Pappelberg,1368,32.38304093567251,48.39449541284404,26.376146788990823,15.59633027522936,3.211009174311927,3.4403669724770642,1.146788990825688,1.3761467889908259,0.45871559633027525,SPD
11252 Gliesmarode-Südost,1300,32.07692307692307,36.86746987951807,29.87951807228916,21.204819277108435,5.0602409638554215,3.614457831325301,1.2048192771084338,1.4457831325301205,0.7228915662650602,SPD
11253 Gliesmarode-Mitte,1148,34.23344947735192,35.204081632653065,28.061224489795915,26.27551020408163,3.316326530612245,2.0408163265306123,2.5510204081632653,2.5510204081632653,0.0,SPD
11254 Gliesmarode-Nord,1557,33.33333333333333,35.65891472868217,32.751937984496124,22.093023255813954,2.9069767441860463,3.2945736434108532,2.7131782945736433,0.3875968992248062,0.1937984496124031,SPD
11261 Riddagshausen,437,42.79176201372998,31.550802139037433,32.62032085561498,27.27272727272727,3.2085561497326207,1.6042780748663104,3.7433155080213902,0,0.0,CDU
12001 Gliesmaroder Straße-Nordost,1464,31.489071038251364,36.24454148471616,22.707423580786028,27.074235807860266,3.2751091703056767,3.9301310043668125,3.9301310043668125,1.9650655021834063,0.8733624454148471,SPD
12002 Karlstraße-Mitte,1106,37.251356238698015,35.76642335766424,15.571776155717762,32.846715328467155,3.40632603406326,5.109489051094891,3.64963503649635,2.9197080291970803,0.7299270072992701,SPD
12003 Gliesmaroder Straße-Ost,1209,33.085194375516956,34.005037783375315,14.609571788413097,39.042821158690174,2.0151133501259446,4.534005037783375,4.785894206549118,1.0075566750629723,0.0,GRÜNE
12004 Malerviertel,1325,38.56603773584906,44.9901768172888,20.825147347740668,27.111984282907663,0.9823182711198428,2.9469548133595285,1.5717092337917484,1.5717092337917484,0.0,SPD
12005 An der Paulikirche,1260,40.476190476190474,31.76470588235294,16.666666666666664,40.78431372549019,1.3725490196078431,3.9215686274509802,3.5294117647058822,1.5686274509803921,0.39215686274509803,GRÜNE
12006 Hagenring,1284,37.61682242990654,34.024896265560166,19.70954356846473,35.684647302904565,1.8672199170124482,3.319502074688797,1.8672199170124482,2.904564315352697,0.6224066390041494,GRÜNE
12011 Humboldtstraße,1253,29.928172386272944,31.451612903225808,15.053763440860216,42.74193548387097,3.763440860215054,2.4193548387096775,2.6881720430107525,1.3440860215053763,0.5376344086021506,GRÜNE
12012 Kasernenstraße,1324,31.64652567975831,35.57692307692308,20.673076923076923,34.13461538461539,1.4423076923076923,2.1634615384615383,3.3653846153846154,2.403846153846154,0.2403846153846154,SPD
12021 Am Theater,1451,32.6671261199173,34.59915611814346,18.354430379746837,37.34177215189873,2.320675105485232,4.430379746835443,1.4767932489451476,1.2658227848101267,0.21097046413502107,GRÜNE
12022 Giersberg,1549,34.2156229825694,34.285714285714285,21.333333333333336,34.095238095238095,3.8095238095238098,1.1428571428571428,2.666666666666667,2.666666666666667,0.0,SPD
12031 Stadtpark,1358,39.39617083946981,40.97744360902256,15.789473684210526,33.83458646616541,1.6917293233082706,3.195488721804511,2.819548872180451,0.9398496240601504,0.7518796992481203,SPD
12032 Prinzenpark-Nord,1174,39.43781942078364,33.76623376623377,15.584415584415584,40.476190476190474,1.5151515151515151,2.5974025974025974,4.545454545454546,1.5151515151515151,0.0,GRÜNE
12033 Kastanienallee,1134,39.41798941798942,36.771300448430495,18.385650224215247,32.73542600896861,3.3632286995515694,2.4663677130044843,2.914798206278027,3.1390134529147984,0.2242152466367713,SPD
12034 Prinzenpark-Mitte,1008,35.714285714285715,42.618384401114206,16.71309192200557,27.019498607242337,4.178272980501393,4.178272980501393,3.8997214484679668,1.1142061281337048,0.2785515320334262,SPD
12035 Prinzenpark-Süd,1066,37.71106941838649,40.75,14.249999999999998,33.75,2.75,4,2.75,1.5,0.25,SPD
12036 Altewiekring-Südost,1375,36.29090909090909,33.46774193548387,15.524193548387096,40.12096774193548,3.225806451612903,1.6129032258064515,5.241935483870968,0.8064516129032258,0.0,GRÜNE
12037 Georg-Westermann-Allee,1279,32.056293979671615,37.53086419753087,18.765432098765434,32.34567901234568,4.444444444444445,1.9753086419753085,2.2222222222222223,2.7160493827160495,0.0,SPD
13001 Inselwall,980,27.448979591836736,32.958801498127336,23.970037453183522,29.213483146067414,3.7453183520599254,3.7453183520599254,3.3707865168539324,2.6217228464419478,0.37453183520599254,SPD
13002 Am Hagenmarkt,1275,26.588235294117645,40.652818991097924,16.61721068249258,30.267062314540063,2.967359050445104,2.6706231454005933,3.2640949554896146,3.2640949554896146,0.2967359050445104,SPD
13003 An der Katharinenkirche,1251,23.341326938449242,29.61672473867596,21.602787456445995,29.268292682926827,5.574912891986063,3.8327526132404177,5.2264808362369335,4.181184668989547,0.6968641114982579,SPD
13004 Wendentorwall,1134,24.514991181657848,36.101083032490976,23.104693140794225,29.24187725631769,4.332129963898916,2.166064981949458,2.888086642599278,1.444043321299639,0.7220216606498195,SPD
13011 Am Schloßpark,1255,29.880478087649404,35.82887700534759,23.52941176470588,29.946524064171122,3.2085561497326207,1.6042780748663104,2.941176470588235,2.13903743315508,0.8021390374331552,SPD
13012 Kennedyplatz,1444,25.83102493074792,32.34501347708895,23.450134770889488,30.727762803234505,3.234501347708895,1.078167115902965,4.8517520215633425,3.5040431266846364,0.8086253369272237,SPD
13013 An der Martinikirche,1258,27.821939586645467,30,21.714285714285715,33.14285714285714,3.428571428571429,2.857142857142857,4.857142857142857,2.571428571428571,1.4285714285714286,GRÜNE
13014 Gördelingerstraße,1126,27.61989342806394,35.69131832797427,20.90032154340836,27.009646302250808,6.109324758842444,2.8938906752411575,4.823151125401929,1.607717041800643,0.964630225080386,SPD
13015 Am Neustadtmühlengraben,1189,25.651808242220355,35.19736842105263,29.276315789473685,20.065789473684212,6.578947368421052,2.631578947368421,3.289473684210526,2.9605263157894735,0.0,SPD
13021 Adolfstraße/Leonhardstraße,1379,34.88034807831762,32.98538622129436,20.876826722338205,35.49060542797495,2.2964509394572024,3.7578288100208765,2.7139874739039667,1.4613778705636742,0.41753653444676403,GRÜNE
13022 An der Stadthalle,1238,31.421647819063004,34.447300771208226,18.251928020565554,32.64781491002571,4.884318766066838,4.884318766066838,1.7994858611825193,2.056555269922879,1.0282776349614395,SPD
13023 Viewegs-Garten,1275,32.07843137254902,37.19211822660098,22.413793103448278,28.57142857142857,4.1871921182266005,2.4630541871921183,3.201970443349754,0.9852216748768473,0.9852216748768473,SPD
13024 Rimpaus-Garten,955,33.82198952879581,30.65015479876161,21.671826625387,35.60371517027864,3.4055727554179565,2.1671826625387,3.4055727554179565,2.476780185758514,0.6191950464396285,GRÜNE
13025 Am Bürgerpark,1038,32.5626204238921,33.33333333333333,25.595238095238095,28.57142857142857,4.464285714285714,2.976190476190476,2.083333333333333,2.083333333333333,0.8928571428571428,SPD
13031 Hauptbahnhof,690,22.608695652173914,40.38461538461539,17.307692307692307,23.717948717948715,5.769230769230769,3.205128205128205,4.487179487179487,4.487179487179487,0.641025641025641,SPD
13032 Streitberg/Hauptfriedhof,699,32.61802575107296,40.26548672566372,18.141592920353983,25.663716814159294,3.982300884955752,3.0973451327433628,5.752212389380531,2.6548672566371683,0.4424778761061947,SPD
13041 Zuckerberg,889,35.9955005624297,32.5,38.4375,17.5,3.4375000000000004,3.125,2.5,1.25,1.25,CDU
13051 Bebelhof-West,1000,20.7,52.6829268292683,16.585365853658537,15.121951219512194,5.853658536585367,0.975609756097561,6.341463414634147,1.951219512195122,0.4878048780487805,SPD
13052 Bebelhof-Ost,1065,25.44600938967136,38.113207547169814,18.867924528301888,17.358490566037734,8.679245283018867,1.509433962264151,10.18867924528302,4.528301886792453,0.7547169811320755,SPD
21101 Stöckheim-Nordost,1203,33.99833748960931,40.14778325123153,32.758620689655174,19.458128078817737,2.70935960591133,1.9704433497536946,2.4630541871921183,0.49261083743842365,0.0,SPD
21102 Stöckheim-Südost,1422,35.51336146272855,37.12574850299401,34.930139720558884,20.35928143712575,3.592814371257485,1.996007984031936,0.39920159680638717,1.5968063872255487,0.0,SPD
21103 Stöckheim-West,1382,34.44283646888567,39.87341772151899,27.004219409282697,22.151898734177212,4.430379746835443,2.320675105485232,1.2658227848101267,2.109704641350211,0.8438818565400843,SPD
21104 Stöckheim-Nordwest,1363,40.57226705796038,39.311594202898554,36.594202898550726,17.934782608695652,2.717391304347826,1.4492753623188406,0.36231884057971014,1.4492753623188406,0.18115942028985507,SPD
21111 Leiferde,1545,42.84789644012945,46.06060606060606,31.96969696969697,11.212121212121213,6.515151515151516,0.9090909090909091,1.9696969696969695,0.9090909090909091,0.45454545454545453,SPD
21121 Heidberg-Nordost,1039,34.84119345524543,39.49579831932773,30.81232492997199,14.565826330532214,8.123249299719888,1.680672268907563,2.801120448179272,2.5210084033613445,0.0,SPD
21122 Am Schulzentrum Heidberg,1065,28.262910798122064,43.91891891891892,23.986486486486484,13.85135135135135,9.45945945945946,2.364864864864865,2.7027027027027026,2.364864864864865,1.3513513513513513,SPD
21123 Heidberg-Südost,1004,25.39840637450199,40.87301587301587,32.142857142857146,11.507936507936508,7.142857142857142,2.7777777777777777,1.984126984126984,3.571428571428571,0.0,SPD
21124 Heidberg-Südwest,905,34.033149171270715,42.2077922077922,33.44155844155844,10.064935064935066,9.415584415584416,2.922077922077922,0.974025974025974,0.974025974025974,0.0,SPD
21125 Heidberg-Zentrum,1169,24.721984602224122,43.97163120567376,31.20567375886525,9.574468085106384,8.51063829787234,2.127659574468085,1.4184397163120568,2.4822695035460995,0.7092198581560284,SPD
21126 Heidberg-Nordwest,1172,30.2901023890785,47.72727272727273,24.147727272727273,11.079545454545455,7.386363636363637,2.556818181818182,3.4090909090909087,2.556818181818182,1.1363636363636365,SPD
21131 Melverode-Südwest,1040,38.36538461538462,36.93467336683417,33.91959798994975,17.08542713567839,4.522613065326634,4.0201005025125625,1.256281407035176,2.0100502512562812,0.25125628140703515,SPD
21132 Melverode-Nord,978,33.23108384458078,48.45679012345679,22.839506172839506,13.271604938271606,7.716049382716049,3.0864197530864197,2.1604938271604937,2.1604938271604937,0.30864197530864196,SPD
21133 Melverode-Südost,1036,37.74131274131275,39.69072164948454,27.31958762886598,16.237113402061855,8.762886597938143,2.8350515463917527,2.3195876288659796,2.0618556701030926,0.7731958762886598,SPD
21201 Mastbruch-Siedlung,750,34.8,38.07692307692307,31.538461538461537,23.076923076923077,1.9230769230769231,3.076923076923077,0.7692307692307693,1.153846153846154,0.38461538461538464,SPD
21211 Rautheim-West,1340,31.716417910447763,47.03087885985748,25.890736342042754,11.163895486935866,6.175771971496437,3.5629453681710213,2.8503562945368173,2.8503562945368173,0.4750593824228029,SPD
21212 Rautheim-Ost,1473,36.04887983706721,44.88636363636363,26.515151515151516,17.992424242424242,3.787878787878788,2.272727272727273,2.083333333333333,1.5151515151515151,0.946969696969697,SPD
21221 Lindenberg-West,978,32.10633946830266,45.16129032258064,21.935483870967744,11.612903225806452,7.096774193548387,4.516129032258064,3.5483870967741935,5.483870967741936,0.6451612903225806,SPD
21222 Lindenberg-Ost,1005,40.8955223880597,40.54054054054054,32.432432432432435,17.936117936117938,4.176904176904177,1.4742014742014742,2.7027027027027026,0.2457002457002457,0.4914004914004914,SPD
21231 Südstadt-Ost,1233,39.98377939983779,45.30612244897959,28.57142857142857,14.081632653061224,5.714285714285714,2.2448979591836733,1.4285714285714286,2.0408163265306123,0.6122448979591837,SPD
21232 Südstadt-West,1025,41.853658536585364,49.53051643192488,24.178403755868544,14.084507042253522,4.929577464788732,2.5821596244131455,1.8779342723004695,1.1737089201877933,1.643192488262911,SPD
21241 Mascherode-Mitte,972,36.21399176954733,38.92045454545455,39.77272727272727,13.068181818181818,4.545454545454546,1.7045454545454544,0.8522727272727272,0.5681818181818182,0.5681818181818182,CDU
21242 Mascherode-Süd,1040,45,42.241379310344826,34.26724137931034,15.948275862068966,1.9396551724137931,2.3706896551724137,1.0775862068965518,1.9396551724137931,0.21551724137931033,SPD
21243 Mascherode-Nordwest,1161,39.96554694229113,40.38876889848812,35.20518358531318,17.062634989200866,2.375809935205184,2.591792656587473,1.7278617710583155,0.21598272138228944,0.4319654427645789,SPD
22101 Rheinring-Ost,1682,24.673008323424494,43.48894348894349,26.535626535626534,9.828009828009828,11.056511056511056,2.457002457002457,3.43980343980344,2.9484029484029484,0.2457002457002457,SPD
22102 Emsstraße-West,1129,19.75199291408326,37.38738738738739,26.576576576576578,8.108108108108109,18.46846846846847,3.153153153153153,3.153153153153153,1.8018018018018018,1.3513513513513513,SPD
22103 Elbestraße-Ost,1226,16.476345840130506,40.609137055837564,21.82741116751269,14.213197969543149,14.213197969543149,3.0456852791878175,3.0456852791878175,2.030456852791878,1.015228426395939,SPD
22104 Rheinring-Südwest,1163,28.976784178847808,47.76119402985074,32.83582089552239,8.059701492537313,8.358208955223882,0.8955223880597015,1.1940298507462688,0.5970149253731344,0.2985074626865672,SPD
22105 Rheinring-Nordwest,1131,32.44916003536693,43.956043956043956,32.967032967032964,9.89010989010989,9.615384615384617,0.5494505494505495,2.197802197802198,0.5494505494505495,0.27472527472527475,SPD
22111 Elbestraße-Süd,1141,17.703768624014025,43.06930693069307,29.207920792079207,8.91089108910891,14.85148514851485,0,2.4752475247524752,0.9900990099009901,0.49504950495049505,SPD
22112 Saalestraße,1334,18.36581709145427,42.14876033057851,23.140495867768596,11.570247933884298,14.46280991735537,2.066115702479339,3.71900826446281,2.8925619834710745,0.0,SPD
22113 Ilmenaustraße,1313,26.961157654226962,43.96551724137931,24.71264367816092,9.770114942528735,16.091954022988507,0.8620689655172413,2.8735632183908044,1.4367816091954022,0.28735632183908044,SPD
22114 Weserstraße,1242,26.73107890499195,40.72948328267477,31.30699088145897,9.118541033434651,12.158054711246201,1.5197568389057752,2.735562310030395,1.82370820668693,0.60790273556231,SPD
22115 Isarstraße,1168,23.373287671232877,45.45454545454545,23.106060606060606,7.954545454545454,15.151515151515152,2.272727272727273,2.6515151515151514,3.0303030303030303,0.3787878787878788,SPD
22116 Lechstraße,1146,22.600349040139616,45.3125,19.140625,14.453125,14.0625,1.953125,3.90625,0.78125,0.390625,SPD
22121 Münchenstraße-Südost,1306,13.476263399693721,33.714285714285715,25.71428571428571,5.142857142857142,22.857142857142858,4.571428571428571,4.571428571428571,1.7142857142857144,1.7142857142857144,SPD
22122 Neckarstraße,952,20.798319327731093,48.205128205128204,25.128205128205128,9.230769230769232,10.256410256410255,1.0256410256410255,3.5897435897435894,2.564102564102564,0.0,SPD
22123 Lahnstraße,1076,18.12267657992565,46.03174603174603,21.164021164021165,8.465608465608465,16.402116402116402,2.6455026455026456,1.5873015873015872,3.7037037037037033,0.0,SPD
22201 Timmerlah-West,909,37.29372937293729,51.19047619047619,27.083333333333332,12.797619047619047,2.083333333333333,3.869047619047619,1.7857142857142856,0.5952380952380952,0.5952380952380952,SPD
22202 Timmerlah-Ost,934,44.00428265524625,40.731707317073166,28.780487804878046,14.146341463414632,5.853658536585367,5.365853658536586,1.707317073170732,2.682926829268293,0.7317073170731708,SPD
