,Wahlberechtigte,Wahlbeteiligung,SPD,CDU,GRÜNE,AfD,BIBS,DIE LINKE.,FDP,Die PARTEI,PIRATEN,Stimmenmehrheiten
11101 Hondelage-Ost,1131,56.58709106984969,33.7479718766901,29.962141698215248,7.5175770686857755,11.627906976744185,5.895078420767982,3.839913466738778,4.597079502433748,1.7847485127095726,1.0275824770146025,SPD-GRÜNE
11102 Hondelage-Mitte/Gewerbegebiet,1014,49.40828402366864,37.46518105849582,32.242339832869085,5.43175487465181,11.699164345403899,3.4818941504178276,3.3426183844011144,3.9693593314763227,0.9749303621169917,1.392757660167131,SPD-GRÜNE
11103 Hondelage-West,1024,53.02734375,35.659898477157356,29.314720812182742,5.901015228426396,13.642131979695431,5.774111675126903,2.284263959390863,4.631979695431472,1.0786802030456852,1.7131979695431472,SPD-GRÜNE
11111 Dibbesdorf,1251,53.23741007194245,29.31910569105691,35.56910569105691,9.705284552845528,10.213414634146341,3.9634146341463414,2.591463414634146,4.319105691056911,2.184959349593496,2.1341463414634148,CDU-FDP
11121 Volkmarode-Ost,1532,50.45691906005222,34.26008968609865,31.210762331838566,10.582959641255606,7.757847533632287,5.9192825112107625,2.5112107623318383,4.618834080717489,1.345291479820628,1.7937219730941705,SPD-GRÜNE
11122 Volkmarode-West,1683,45.513963161021984,31.5,30.13636363636364,11.681818181818182,10.954545454545455,3.5909090909090913,2.9545454545454546,5.7727272727272725,1.6818181818181819,1.7272727272727273,SPD-GRÜNE
11131 Schapen,1384,53.97398843930635,37.763519706691106,31.714023831347387,9.532538955087077,7.149404216315307,3.9413382218148487,1.833180568285976,6.0953253895508706,1.5123739688359303,0.458295142071494,SPD-GRÜNE
11201 Bevenrode,1266,54.818325434439174,20.76771653543307,32.03740157480315,7.03740157480315,9.448818897637794,21.210629921259844,2.608267716535433,2.8051181102362204,1.9192913385826773,2.1653543307086616,CDU-FDP
11211 Waggum-Ost,1366,51.61054172767203,27.56916996047431,23.07312252964427,6.3735177865612656,8.547430830039527,25.247035573122528,2.4209486166007905,3.3596837944664033,1.9762845849802373,1.4328063241106719,SPD-GRÜNE
11212 Waggum-West,1200,50,35.57471264367816,21.03448275862069,7.126436781609195,7.816091954022989,20.229885057471265,1.7816091954022988,4.42528735632184,0.6896551724137931,1.3218390804597702,SPD-GRÜNE
11221 Bienrode,1442,45.70041608876561,29.654811715481173,30.753138075313807,6.2761506276150625,12.866108786610878,7.897489539748954,2.981171548117155,5.125523012552302,2.1443514644351467,2.301255230125523,SPD-GRÜNE
11231 Querum-Nord,901,43.84017758046615,26.324786324786327,37.863247863247864,12.564102564102564,6.666666666666667,6.239316239316239,4.102564102564102,5.128205128205128,0.3418803418803419,0.7692307692307693,CDU-FDP
11232 Querum-Nordost,934,42.398286937901496,29.012875536480685,30.98712446351931,12.618025751072961,6.180257510729613,8.240343347639485,2.4892703862660945,7.8111587982832615,1.3733905579399142,1.2875536480686696,SPD-GRÜNE
11241 Querum-Ost,950,46,30.48,30.56,10.72,7.920000000000001,8.16,4.4799999999999995,4.72,0.8,2.16,SPD-GRÜNE
11242 Querum-Mitte,1354,45.64254062038405,27.51828925154755,26.730444569499156,13.111986494091166,9.341586944288126,8.047270680922903,6.302757456387169,4.051772650534609,2.3072594259988746,2.5886325267304446,SPD-GRÜNE
11243 Querum-West,1258,41.573926868044516,36.98996655518395,21.070234113712374,12.240802675585284,10.501672240802677,7.558528428093646,3.7458193979933108,3.545150501672241,2.0066889632107023,2.341137123745819,SPD-GRÜNE
11251 Pappelberg,1435,44.041811846689896,36.87299893276414,27.694770544290286,9.391675560298825,11.04589114194237,4.909284951974386,3.628601921024546,2.2945570971184632,2.134471718249733,2.0277481323372464,SPD-GRÜNE
11252 Gliesmarode-Südost,1280,44.765625,26.63467306538692,32.15356928614277,13.31733653269346,8.458308338332333,7.078584283143371,3.4193161367726455,6.23875224955009,1.1397720455908817,1.5596880623875224,SPD-GRÜNE
11253 Gliesmarode-Mitte,1232,45.048701298701296,33.80454824830977,23.84757221880762,14.812538414259373,8.912108174554396,5.777504609711125,3.4419176398279046,3.6263060848186845,3.503380454824831,2.2741241548862936,SPD-GRÜNE
11254 Gliesmarode-Nord,1414,46.605374823196605,28.98701298701299,24.935064935064936,17.558441558441558,7.584415584415584,9.194805194805195,4.77922077922078,3.0649350649350646,1.1428571428571428,2.7532467532467533,SPD-GRÜNE
11261 Riddagshausen,458,48.03493449781659,29.076923076923077,28.307692307692307,16,4.615384615384616,6.3076923076923075,5.538461538461538,7.846153846153846,0.46153846153846156,1.8461538461538463,SPD-GRÜNE
12001 Gliesmaroder Straße-Nordost,1273,38.177533385703065,35,17.77777777777778,15.625,7.5,5.277777777777778,5.277777777777778,3.958333333333333,5.069444444444445,4.513888888888888,SPD-GRÜNE
12002 Karlstraße-Mitte,1190,43.19327731092437,28.805774278215225,17.322834645669293,23.818897637795274,4.724409448818897,3.937007874015748,6.36482939632546,5.118110236220472,5.708661417322835,4.199475065616798,SPD-GRÜNE
12003 Gliesmaroder Straße-Ost,1294,42.8902627511592,32.66301035953687,16.575258988421695,21.937842778793417,7.312614259597806,4.753199268738574,5.1797684338817795,3.2297379646556976,4.143814747105424,4.204753199268739,SPD-GRÜNE
12004 Malerviertel,1350,53.03703703703704,31.187884524372926,20.06625650733554,23.615712257453858,3.1708471367723616,5.347846663511595,6.389020350212967,5.773781353525793,2.9342167534311407,1.5144344533838145,SPD-GRÜNE
