,Wahlberechtigte,Wahlbeteiligung,SPD,CDU,GRÜNE,AfD,BIBS,DIE LINKE.,FDP,Die PARTEI,DieBasis,BIG,PIRATEN,Volt,Stimmenmehrheiten,Stärkste Partei
11101 Hondelage-Ost,1159,41.84641932700604,32.64137437365784,32.64137437365784,11.811023622047244,4.652827487473156,2.576950608446672,1.9327129563350036,9.16249105225483,2.791696492483894,0.4294917680744453,0.28632784538296346,0.4294917680744453,0.644237652111668,SPD-GRÜNE,SPD
11102 Hondelage-Mitte/Gewerbegebiet,1008,40.97222222222222,33.843537414965986,34.523809523809526,11.224489795918368,3.571428571428571,2.295918367346939,1.445578231292517,5.272108843537415,1.3605442176870748,1.7006802721088436,0.6802721088435374,2.891156462585034,1.1904761904761905,SPD-GRÜNE,CDU
11103 Hondelage-West,957,40.85684430512016,36.46112600536193,33.86952636282395,13.136729222520108,4.736371760500447,3.1277926720285967,1.7873100983020553,5.004468275245755,0,0.3574620196604111,0.17873100983020554,0.5361930294906166,0.8042895442359249,SPD-GRÜNE,SPD
11111 Dibbesdorf,1180,43.22033898305085,34.58697112155809,27.266621893888516,19.140362659503023,4.5668233713901945,2.6863666890530555,1.3431833445265278,6.111484217595701,0.8730691739422431,0.33579583613163194,0.4029550033579583,1.0745466756212223,1.6118200134318332,SPD-GRÜNE,SPD
11121 Volkmarode-Ost,1500,40.400000000000006,34.97142857142857,25.02857142857143,18.857142857142858,3.371428571428572,3.371428571428572,2.4,6.914285714285715,1.1428571428571428,1.4285714285714286,0.2285714285714286,0.4571428571428572,1.8285714285714287,SPD-GRÜNE,SPD
11122 Volkmarode-West,1692,34.63356973995272,31.046511627906977,26.16279069767442,20.116279069767444,3.3139534883720927,3.662790697674419,1.802325581395349,8.720930232558139,1.744186046511628,1.1046511627906976,0.11627906976744186,0.5232558139534884,1.686046511627907,SPD-GRÜNE,SPD
11131 Schapen,1337,40.83769633507853,33.37507827175955,32.62366938008767,17.78334376956794,4.946775203506575,3.068252974326863,1.3149655604257984,3.5065748278021287,1.0018785222291797,0.31308703819661865,0.06261740763932373,1.0018785222291797,1.0018785222291797,SPD-GRÜNE,SPD
11201 Bevenrode,1290,40.62015503875969,23.295830575777632,22.70019854401059,15.486432825943083,4.831237590999338,22.766379880873593,1.9192587690271343,5.294506949040371,0.9927200529450696,0.9927200529450696,0.06618133686300463,0.4632693580410324,1.1912640635340834,SPD-GRÜNE,SPD
11211 Waggum-Ost,1358,37.187039764359355,28.353022932592076,16.956219596942322,12.369701181375955,5.072967338429465,25.851285615010422,1.250868658790827,6.184850590687978,1.389854065323141,0.20847810979847115,0.34746351633078526,1.111883252258513,0.9034051424600417,SPD-GRÜNE,SPD
11212 Waggum-West,1319,34.420015163002276,25.773993808049532,26.006191950464398,12.229102167182662,3.1733746130030958,20.743034055727556,1.6253869969040249,6.191950464396285,0.9287925696594427,0.23219814241486067,2.0123839009287927,0.30959752321981426,0.7739938080495357,SPD-GRÜNE,CDU
11221 Bienrode,1394,35.1506456241033,30.366116295764538,29.576453697056714,11.844938980617373,6.24551328068916,8.758076094759511,2.3689877961234744,7.250538406317301,2.0818377602297202,0.21536252692031585,0,0.5025125628140703,0.7896625987078248,SPD-GRÜNE,SPD
11231 Querum-Nord,882,35.827664399092974,19.40463065049614,38.0374862183021,22.27122381477398,3.197353914002205,3.6383682469680267,3.0871003307607494,5.402425578831313,0.5512679162072767,0.4410143329658214,0.9922822491730982,1.1025358324145533,1.8743109151047408,CDU-FDP,CDU
11232 Querum-Nordost,946,34.56659619450317,22.44258872651357,31.002087682672236,20.250521920668056,5.11482254697286,5.949895615866389,1.3569937369519833,7.515657620041753,0.20876826722338201,1.0438413361169103,2.6096033402922756,0.20876826722338201,2.2964509394572024,SPD-GRÜNE,CDU
