StadtbezirkeId,Stadtbezirke,Wahl,Jahr,Messung,Wert
112,112 Wabe-Schunter-Beberbach,Stadtbezirksratswahl,2006,Wahlberechtigte,15519
113,113 Hondelage,Stadtbezirksratswahl,2006,Wahlberechtigte,3359
114,114 Volkmarode,Stadtbezirksratswahl,2006,Wahlberechtigte,5417
120,120 Östliches Ringgebiet,Stadtbezirksratswahl,2006,Wahlberechtigte,20953
131,131 Innenstadt,Stadtbezirksratswahl,2006,Wahlberechtigte,10293
132,132 Viewegsgarten-Bebelhof,Stadtbezirksratswahl,2006,Wahlberechtigte,10110
211,211 Stöckheim-Leiferde,Stadtbezirksratswahl,2006,Wahlberechtigte,6510
212,212 Heidberg-Melverode,Stadtbezirksratswahl,2006,Wahlberechtigte,9987
213,213 Südstadt-Rautheim-Mascherode,Stadtbezirksratswahl,2006,Wahlberechtigte,10054
221,221 Weststadt,Stadtbezirksratswahl,2006,Wahlberechtigte,18322
222,222 Timmerlah-Geitelde-Stiddien,Stadtbezirksratswahl,2006,Wahlberechtigte,2981
223,223 Broitzem,Stadtbezirksratswahl,2006,Wahlberechtigte,4624
224,224 Rüningen,Stadtbezirksratswahl,2006,Wahlberechtigte,2439
310,310 Westliches Ringgebiet,Stadtbezirksratswahl,2006,Wahlberechtigte,25495
321,321 Lehndorf-Watenbüttel,Stadtbezirksratswahl,2006,Wahlberechtigte,16251
322,322 Veltenhof-Rühme,Stadtbezirksratswahl,2006,Wahlberechtigte,4944
323,323 Wenden-Thune-Harxbüttel,Stadtbezirksratswahl,2006,Wahlberechtigte,5239
331,331 Nordstadt,Stadtbezirksratswahl,2006,Wahlberechtigte,16620
332,332 Schunteraue,Stadtbezirksratswahl,2006,Wahlberechtigte,4089
112,112 Wabe-Schunter-Beberbach,Stadtbezirksratswahl,2006,Wahlbeteiligung,57.3
113,113 Hondelage,Stadtbezirksratswahl,2006,Wahlbeteiligung,59.6
114,114 Volkmarode,Stadtbezirksratswahl,2006,Wahlbeteiligung,62.4
120,120 Östliches Ringgebiet,Stadtbezirksratswahl,2006,Wahlbeteiligung,54.3
131,131 Innenstadt,Stadtbezirksratswahl,2006,Wahlbeteiligung,42.9
132,132 Viewegsgarten-Bebelhof,Stadtbezirksratswahl,2006,Wahlbeteiligung,46.4
211,211 Stöckheim-Leiferde,Stadtbezirksratswahl,2006,Wahlbeteiligung,60.8
212,212 Heidberg-Melverode,Stadtbezirksratswahl,2006,Wahlbeteiligung,48.3
213,213 Südstadt-Rautheim-Mascherode,Stadtbezirksratswahl,2006,Wahlbeteiligung,57.2
221,221 Weststadt,Stadtbezirksratswahl,2006,Wahlbeteiligung,35.7
222,222 Timmerlah-Geitelde-Stiddien,Stadtbezirksratswahl,2006,Wahlbeteiligung,56.0
223,223 Broitzem,Stadtbezirksratswahl,2006,Wahlbeteiligung,53.2
224,224 Rüningen,Stadtbezirksratswahl,2006,Wahlbeteiligung,43.4
310,310 Westliches Ringgebiet,Stadtbezirksratswahl,2006,Wahlbeteiligung,41.0
321,321 Lehndorf-Watenbüttel,Stadtbezirksratswahl,2006,Wahlbeteiligung,59.1
322,322 Veltenhof-Rühme,Stadtbezirksratswahl,2006,Wahlbeteiligung,45.7
323,323 Wenden-Thune-Harxbüttel,Stadtbezirksratswahl,2006,Wahlbeteiligung,54.8
331,331 Nordstadt,Stadtbezirksratswahl,2006,Wahlbeteiligung,44.9
332,332 Schunteraue,Stadtbezirksratswahl,2006,Wahlbeteiligung,52.0
112,112 Wabe-Schunter-Beberbach,Stadtbezirksratswahl,2006,CDU,50.9
113,113 Hondelage,Stadtbezirksratswahl,2006,CDU,47.9
114,114 Volkmarode,Stadtbezirksratswahl,2006,CDU,55.5
120,120 Östliches Ringgebiet,Stadtbezirksratswahl,2006,CDU,30.6
131,131 Innenstadt,Stadtbezirksratswahl,2006,CDU,44.3
132,132 Viewegsgarten-Bebelhof,Stadtbezirksratswahl,2006,CDU,41.3
211,211 Stöckheim-Leiferde,Stadtbezirksratswahl,2006,CDU,49.7
212,212 Heidberg-Melverode,Stadtbezirksratswahl,2006,CDU,49.4
213,213 Südstadt-Rautheim-Mascherode,Stadtbezirksratswahl,2006,CDU,47.4
221,221 Weststadt,Stadtbezirksratswahl,2006,CDU,50.6
222,222 Timmerlah-Geitelde-Stiddien,Stadtbezirksratswahl,2006,CDU,49.0
223,223 Broitzem,Stadtbezirksratswahl,2006,CDU,50.9
224,224 Rüningen,Stadtbezirksratswahl,2006,CDU,39.2
310,310 Westliches Ringgebiet,Stadtbezirksratswahl,2006,CDU,37.7
