WahlbezirkeId,Wahlbezirke,Wahl,Jahr,Messung,Wert
11201,11201 Bevenrode,Stadtbezirksratswahl,2006,Wahlberechtigte,1123
11211,11211 Waggum-Ost,Stadtbezirksratswahl,2006,Wahlberechtigte,1254
11212,11212 Waggum-West,Stadtbezirksratswahl,2006,Wahlberechtigte,1275
11221,11221 Bienrode,Stadtbezirksratswahl,2006,Wahlberechtigte,1458
11231,11231 Querum-Nord,Stadtbezirksratswahl,2006,Wahlberechtigte,937
11232,11232 Querum-Nord-Ost,Stadtbezirksratswahl,2006,Wahlberechtigte,974
11241,11241 Querum-Ost,Stadtbezirksratswahl,2006,Wahlberechtigte,937
11242,11242 Querum-Mitte,Stadtbezirksratswahl,2006,Wahlberechtigte,1305
11243,11243 Querum-West,Stadtbezirksratswahl,2006,Wahlberechtigte,1262
11251,11251 Pappelberg,Stadtbezirksratswahl,2006,Wahlberechtigte,1043
11252,11252 Gliesmarode-Südost,Stadtbezirksratswahl,2006,Wahlberechtigte,1110
11253,11253 Gliesmarode-Mitte,Stadtbezirksratswahl,2006,Wahlberechtigte,1220
11254,11254 Gliesmarode-Nord,Stadtbezirksratswahl,2006,Wahlberechtigte,1138
11261,11261 Riddagshausen,Stadtbezirksratswahl,2006,Wahlberechtigte,483
11301,11301 Hondelage-Ost,Stadtbezirksratswahl,2006,Wahlberechtigte,1180
11302,11302 Hondelage-Mitte/Gewerbegebiet,Stadtbezirksratswahl,2006,Wahlberechtigte,1066
11303,11303 Hondelage-West,Stadtbezirksratswahl,2006,Wahlberechtigte,1113
11401,11401 Dibbesdorf,Stadtbezirksratswahl,2006,Wahlberechtigte,1301
11411,11411 Volkmarode-Ost,Stadtbezirksratswahl,2006,Wahlberechtigte,1237
11412,11412 Volkmarode-West,Stadtbezirksratswahl,2006,Wahlberechtigte,1495
11421,11421 Schapen,Stadtbezirksratswahl,2006,Wahlberechtigte,1384
12001,12001 Gliesmaroder Straße-Nordost ,Stadtbezirksratswahl,2006,Wahlberechtigte,1156
12002,12002 Karlstraße-Mitte ,Stadtbezirksratswahl,2006,Wahlberechtigte,1139
12003,12003 Gliesmaroder Straße-Ost,Stadtbezirksratswahl,2006,Wahlberechtigte,1170
12004,12004 Malerviertel,Stadtbezirksratswahl,2006,Wahlberechtigte,1333
12005,12005 An der Paulikirche,Stadtbezirksratswahl,2006,Wahlberechtigte,1274
12006,12006 Hagenring,Stadtbezirksratswahl,2006,Wahlberechtigte,1313
12011,12011 Humboldtstraße,Stadtbezirksratswahl,2006,Wahlberechtigte,1229
12012,12012 Kasernenstraße,Stadtbezirksratswahl,2006,Wahlberechtigte,1211
12021,12021 Am Theater,Stadtbezirksratswahl,2006,Wahlberechtigte,1236
12022,12022 Giersberg,Stadtbezirksratswahl,2006,Wahlberechtigte,1457
12031,12031 Stadtpark,Stadtbezirksratswahl,2006,Wahlberechtigte,1352
12032,12032 Prinzenpark-Nord,Stadtbezirksratswahl,2006,Wahlberechtigte,1155
12033,12033 Kastanienallee,Stadtbezirksratswahl,2006,Wahlberechtigte,1096
12034,12034 Prinzenpark-Mitte,Stadtbezirksratswahl,2006,Wahlberechtigte,1139
12035,12035 Prinzenpark-Süd,Stadtbezirksratswahl,2006,Wahlberechtigte,1156
12036,12036 Altewiekring-Südost,Stadtbezirksratswahl,2006,Wahlberechtigte,1184
12037,12037 Georg-Westermann-Allee,Stadtbezirksratswahl,2006,Wahlberechtigte,1353
13101,13101 Inselwall,Stadtbezirksratswahl,2006,Wahlberechtigte,927
13102,13102 Am Hagenmarkt,Stadtbezirksratswahl,2006,Wahlberechtigte,1200
13103,13103 An der Katharinenkirche,Stadtbezirksratswahl,2006,Wahlberechtigte,1294
13104,13104 Wendentorwall,Stadtbezirksratswahl,2006,Wahlberechtigte,926
